study_accession,publication_title,year,mission,organism,tissue,assay,platform,environment,doi,source_url,abstract,metadata_json
OSD-37,Space biology research study on Mus musculus - OSD-37,2015,,Mus musculus,muscle,RNA-seq,Illumina HiSeq,ground,10.1000/example.osd-37,https://osdr.nasa.gov/bio/repo/data/studies/OSD-37,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using RNA-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":6,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
OSD-38,Space biology research study on Arabidopsis thaliana - OSD-38,2016,ISS Expedition 50,Arabidopsis thaliana,bone,microarray,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-38,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using microarray technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":7,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
OSD-40,Space biology research study on Drosophila melanogaster - OSD-40,2017,ISS Expedition 60,Drosophila melanogaster,liver,proteomics,Affymetrix,spaceflight,10.1002/example.osd-40,https://osdr.nasa.gov/bio/repo/data/studies/OSD-40,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using proteomics technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":8,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
OSD-41,Space biology research study on Caenorhabditis elegans - OSD-41,2018,,Caenorhabditis elegans,kidney,metabolomics,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-41,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using metabolomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":9,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
OSD-43,Space biology research study on Homo sapiens - OSD-43,2019,,Homo sapiens,spleen,amplicon,mass spectrometry,spaceflight,10.1004/example.osd-43,https://osdr.nasa.gov/bio/repo/data/studies/OSD-43,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using amplicon technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":10,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
OSD-44,Space biology research study on Rattus norvegicus - OSD-44,2020,ISS,Rattus norvegicus,heart,methyl-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-44,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using methyl-seq technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":11,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
OSD-45,Space biology research study on Mus musculus - OSD-45,2021,,Mus musculus,leaf,ATAC-seq,Illumina HiSeq,ground,10.1006/example.osd-45,https://osdr.nasa.gov/bio/repo/data/studies/OSD-45,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using ATAC-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":12,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
OSD-48,Space biology research study on Arabidopsis thaliana - OSD-48,2022,ISS Expedition 60,Arabidopsis thaliana,root,ChIP-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-48,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using ChIP-seq technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":13,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
OSD-49,Space biology research study on Drosophila melanogaster - OSD-49,2023,Space Shuttle,Drosophila melanogaster,seed,RNA-seq,Affymetrix,spaceflight,10.1008/example.osd-49,https://osdr.nasa.gov/bio/repo/data/studies/OSD-49,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using RNA-seq technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":14,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
OSD-50,Space biology research study on Caenorhabditis elegans - OSD-50,2024,,Caenorhabditis elegans,brain,microarray,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-50,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using microarray technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":15,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
